OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
152803,K-CARNAR,CARNARVON PARK,CARNARVON COURT,PIMPAMA,12119.19,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,b49338f7-6b29-4f1e-909d-90b3b68cdb9f
152804,K-WHITIN,WHITING STREET CORRIDOR,20A BROWN STREET,LABRADOR,8379,UTILITY RESERVE,ACCESS LINKAGE,GCCC,d615a692-4545-47c7-baa6-31278fd8141a
152805,K-WEKAPA,WEKA PARKLANDS,KOPPS ROAD,OXENFORD,27581,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a78dd56c-0d4a-42b8-9248-20046f4270a4
152806,K-WILL01,WILLIAM CLARK PARK,WOODGEE STREET,CURRUMBIN,344,OPEN SPACE PARKS,AMENITY SPACE,GCCC,8d3e6a72-8d34-4c7a-b021-8b6aec57dac9
152807,K-WESTAV,WEST AVOCADO PARK,256 NINETEENTH AVENUE,ELANORA,859,OPEN SPACE PARKS,AMENITY SPACE,GCCC,6444fe56-687d-40b9-a109-b79c59680c2a
152808,K-STONER,STONER FAMILY PARK,70 MERRIDOWN DRIVE,MERRIMAC,23518,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,919f3aaa-b43a-4a79-80ae-71a31e799438
152809,K-STRA02,STRADBROKE PARK,31 STRADBROKE STREET,BIGGERA WATERS,3202,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0ed7afcf-60ee-4f06-8a39-2e18342e71a4
152810,K-STRA01,STRADBROKE WATERFRONT PARK,61 STRADBROKE STREET,BIGGERA WATERS,1085,OPEN SPACE PARKS,AMENITY SPACE,GCCC,fbed06f3-80c9-4a36-8366-fad868a699ba
152811,K-STRATH,STRATHMORE COURT RESERVE,11 STRATHMORE COURT,ROBINA,817,UTILITY RESERVE,ACCESS LINKAGE,GCCC,815412ed-0645-4188-a0b9-d35d1bbbb572
152812,K-WONG05,WONGAWALLAN CONSERVATION AREA UPPER COOMERA SECTION,LOT 25 RESERVE ROAD,UPPER COOMERA,1564707.4428438,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,4bdc3805-60ed-443d-95b9-297c23dfb4b5
152813,K-MUSG02,MUSGRAVE SPORTS PARK,MUSGRAVE AVENUE,SOUTHPORT,42336,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,25fd9a89-9953-4f7d-b786-7375e1897055
152814,,HINZE DAM NUMINBAH,2641 NERANG MURWILLUMBAH ROAD,NUMINBAH VALLEY,2599449,QUEENSLAND CONSERVATION ESTATE,NATURE REFUGE,EXTERNAL,a0c2bf27-606c-4b2b-b43f-cb5fb5c94ad5
152815,K-TRAN01,TRANQUILITY CIRCUIT RESERVE,TRANQUILITY CIRCUIT,HELENSVALE,6420,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,e89c1074-0da1-4c10-b576-748a4217162f
152816,K-ANGELI,ANGELICA RESERVE,15 NOLLAMARA DRIVE,ELANORA,695.25,OPEN SPACE PARKS,AMENITY SPACE,GCCC,9be4a7d7-3a43-457f-bec7-af639011cceb
152817,K-ANNABE,ANNABELLE CRESCENT RESERVE,17A ANNABELLE CRESCENT,UPPER COOMERA,5379,UTILITY RESERVE,UTILITY RESERVE,GCCC,798db1ce-b1ce-44c6-bd7c-390490a32c8c
152818,K-ANNETT,ANNETTE KELLERMAN PARK,9 MARKERI STREET,MERMAID BEACH,16206,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,0664a7f2-386a-4458-92b9-dad34f299f53
152819,K-PARKSI,PARKSIDE DRIVE RESERVE,PARKSIDE DRIVE,JACOBS WELL,24709.31002014,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ecf63149-553c-4935-af8c-3d3f51160109
152820,K-WIND01,WINDERADEEN RESERVE,57 WINDERADEEN DRIVE,NERANG,970.5759925,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,31c7b46f-eab8-4b8d-92fb-42881c793fe7
152821,K-OREILL,O'REILLY PARK,O'REILLY DRIVE,COOMERA,25866.44094646,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,6c633a5d-4e4a-4d21-967d-c05c067ebce3
152822,K-HILL01,HILLSBOROUGH RESERVE,0 HILLSBOROUGH PLACE,PIMPAMA,2355.77281401,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,f026bf7c-259f-4761-855d-0f7cc98fb688
152823,K-BANROC,BANROCK PARK,48 BANROCK STREET,PIMPAMA,436.84441551,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,66a27c8d-3695-4f31-88ac-5e6b974f64fe
152824,K-APPLEB,APPLE BERRY PARK,"0 APPLE BERRY AVENUE, COOMERA, 4209",COOMERA,4684.27694703,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,8fe1e466-3128-4e84-82e2-ca4fb2e2d81f
152825,K-KUMURU,KUMURU-KUMURU PARK,905 WINGS ROAD,UPPER COOMERA,56060.41875244,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,3b2486f2-97cc-41da-b788-bf4c0321dc94
152826,K-KUMURU,KUMURU-KUMURU PARK,905 WINGS ROAD,UPPER COOMERA,3841.16603543,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,272928a8-de93-4387-b7ea-e95791746475
152827,K-LOWERH,LOWER HALFWAY CREEK PARKLANDS,16 NOTAR DRIVE,ORMEAU,317638.66515413,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,f2a2f75f-a716-493a-8655-a62a1f1a4e71
152828,K-LOWERH,LOWER HALFWAY CREEK PARKLANDS,ALLOY STREET,YATALA,3291.29,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,a27be522-d633-44fa-a916-4d1d797a78d8
152829,,,,,,,AMENITY SPACE,,52adb66c-16ff-4fc9-a734-c24ca7cd86e0
152830,K-RUFOUS,RUFOUS WHISTLER PARK,RIFLE RANGE ROAD,PIMPAMA,38520.53622464,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2abfbdb5-df7f-42c8-8e51-36e9389c877b
152831,,,,,,,UTILITY RESERVE,,87b9b750-8bd5-4395-b315-3ee5d36a7d37
152832,K-ROBI01,ROBINA PARKWAY PARK 2,ROBINA PARKWAY,CLEAR ISLAND WATERS,44928,OPEN SPACE PARKS,AMENITY SPACE,GCCC,1ec337c0-97fe-49b0-9c33-6418ec07b724
152833,K-ROBI01,ROBINA PARKWAY PARK 2,ROBINA PARKWAY,CLEAR ISLAND WATERS,44145,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f360d924-b33b-4733-a30d-72f4de786797
152834,K-COOG02,COOGERA NORTH CONSERVATION RESERVE,RIVER RUN CIRCUIT,ORMEAU HILLS,2035.21231656,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,49877700-5595-4ea4-abb0-3d1a96f71f07
152835,K-COOG02,COOGERA NORTH CONSERVATION RESERVE,RIVER RUN CIRCUIT,ORMEAU HILLS,102274.83195957,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,80581e75-d551-4cf5-b0a2-c96c2db60e5a
152836,K-NIKIFO,NIKIFORIDES FAMILY PARK,SURF PARADE,BROADBEACH,9577,OPEN SPACE PARKS,DISTRICT RECREATION PARK,GCCC,472caca4-ddd5-4d1d-aee7-f333202e778a
152837,K-HERB01,HERBERT PARK,SKYLINE TERRACE,BURLEIGH HEADS,173030,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,ebd0eddd-4bef-4876-a79d-8b8b6cf4b453
152838,K-BOOWAG,BOOWAGGAN PARK,BOOWAGGAN ROAD,MERRIMAC,14146,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0f2c803f-e3e7-49b0-be69-262e4d739dbf
152839,K-BORONI,BORONIA PARK,147 ALLAMBIE AVENUE,BROADBEACH WATERS,7853,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,c86c8357-8d15-4f62-bc64-6ff6dd100292
152840,F-SFGCCY,GOLD COAST CYCLE CENTRE,1 HOPE DRIVE,NERANG,77456,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,f54a11a6-ab1b-4676-9ad7-72e2bd9bad1f
152841,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,40093,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,816c6ee5-fefa-4086-a3f3-b10a96fd7183
152842,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,19835,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,01e94721-7ed1-458a-ab3a-64204ede252f
152843,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,21804,OPEN SPACE PARKS,WATER BODY,GCCC,dd87dd02-484d-4157-ac5a-ab955097e2bc
152844,K-SKYLIN,SKYLINE TERRACE RESERVE,4 PLANTATION ROAD,BURLEIGH HEADS,2986,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,9a76cbcb-13cf-49b3-80b0-651de75325fc
152845,K-WYANGA,WYANGAN VALLEY PARK,2 EMERSON DRIVE,MUDGEERABA,268150,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,e6f77f52-af0d-4527-abea-c56201f329c3
